OBJECTID,CID,class,POINT_X,POINT_Y,b1_PCA_202,b2_PCA_202,b3_PCA_202,b4_PCA_202,b5_PCA_202,b6_PCA_202,b7_PCA_202,b8_PCA_202,b9_PCA_202,b10_PCA_20
3,1,water,-121.6916823,48.85405273,87969.05469,-2808.654785,-627.2593384,-830.8419189,105.2327652,-136.5744934,-210.8096771,-50.3349419,-41.1406937,100.2077103
4,1,snow,-121.6971479,48.8543014,10807.30762,-3826.042969,1096.507324,1280.682617,41.66605,-1388.332764,-886.5013428,69.7619019,-86.2806778,1389.511108
5,1,snow,-121.6969523,48.85408779,13205.61914,-6462.658691,1256.886719,-216.8749847,593.0563354,-1024.230957,361.887207,-304.2993774,679.8063965,-429.0153809
6,1,snow,-121.6974915,48.85368059,29232.57813,-4203.516602,755.3518677,-150.8928833,184.0142059,-13.0547056,-599.5541382,916.6452026,545.9415283,20.4693279
7,1,water,-121.6909149,48.85421024,87837.75,-2884.516113,-476.0445862,-814.9203491,109.2310638,-76.0897217,-240.5564117,-9.7045631,45.8962173,20.2473869
8,1,water,-121.6938151,48.85359386,84033.19531,-894.1399536,-1618.028687,188.5817413,-18.0163136,-30.7942276,9.3283463,-89.3658829,-262.4607239,-126.5546951
9,1,water,-121.6966173,48.85436619,72656.22656,-1171.165527,-744.2871704,-195.9904938,-223.1545715,230.2943726,-147.6463318,-23.620018,120.9149628,267.4632568
10,1,vegetation,-121.6901785,48.85384463,81933.45313,1400.881348,-524.6850586,-99.2383041,90.1803589,-88.8951187,31.9628391,-152.4591522,-133.4328918,58.6138878
11,1,snow,-121.6965078,48.85308121,24554.28711,-6206.133789,861.7106934,-96.062912,10.082078,699.2485352,-96.7574081,818.0338745,-1159.221069,-515.1091919
12,1,rock,-121.6977106,48.85471808,74966.15625,-290.3985901,-1111.067261,533.4247437,-490.9322205,471.0739746,-414.4068298,-210.4789429,254.6716461,79.2181168
13,1,snow,-121.6978314,48.85303312,29292.50391,-7629.679199,3046.776367,-131.3014374,-919.0889282,-171.786972,526.892334,488.6882629,16.4426365,707.4874268
14,1,rock,-121.692455,48.85282695,75038.3125,-646.9229126,-778.4984741,586.0321045,168.5803528,415.62323,196.6188354,-66.8482285,-501.2626343,4.5297155
15,1,vegetation,-121.6898578,48.85488226,82381.24219,1317.676758,-609.5930176,-14.3546562,-54.2093582,-15.7559032,102.5078201,-71.0648575,-8.8563347,-57.9130402
